date,actual,predicted,lower_90,upper_90,residual,fold,category
2018-07-12,2.5649493574615367,3.2755333142519953,2.6548643182117595,3.8715612614260944,-0.7105839567904586,2,health_beauty
2018-07-13,3.367295829986474,3.190016651984327,2.593052295340148,3.752582778566753,0.1772791780021472,2,health_beauty
2018-07-14,3.044522437723423,2.957970781866118,2.3356271524776084,3.5614440477898395,0.08655165585730495,2,health_beauty
2018-07-15,3.4339872044851463,3.095286605227312,2.5033328869639067,3.724433737925875,0.33870059925783425,2,health_beauty
2018-07-16,3.6888794541139363,3.3234366430158286,2.7404398287510894,3.8786877208446673,0.3654428110981076,2,health_beauty
2018-07-17,3.761200115693562,3.2830375115751305,2.6428986317582113,3.8840998570503578,0.4781626041184315,2,health_beauty
2018-07-18,3.761200115693562,3.3139664009397958,2.7309248429181534,3.893203594161693,0.44723371475376617,2,health_beauty
2018-07-19,3.465735902799727,3.2989529752627225,2.6960127782952115,3.938978034991104,0.16678292753700452,2,health_beauty
2018-07-20,3.044522437723423,3.211984185595338,2.6025189650380987,3.8060822270198327,-0.16746174787191492,2,health_beauty
2018-07-21,3.367295829986474,2.9774341011610903,2.3543372588089033,3.556588823997702,0.38986172882538384,2,health_beauty
2018-07-22,2.6390573296152584,3.111266121638377,2.4899055907402112,3.739909230523806,-0.4722087920231184,2,health_beauty
2018-07-23,3.663561646129646,3.335049526345988,2.7027552691738714,3.910574636866756,0.328512119783658,2,health_beauty
2018-07-24,3.367295829986474,3.289519019520858,2.685381205902532,3.90760860854536,0.07777681046561602,2,health_beauty
2018-07-25,3.5553480614894135,3.314687888953052,2.759248066094911,3.920470149199404,0.2406601725363613,2,health_beauty
2018-07-26,3.3322045101752042,3.2934362899362974,2.676077266915719,3.8365289987710405,0.0387682202389068,2,health_beauty
2018-07-27,2.772588722239781,3.199912239233273,2.5780402680942927,3.8135409915382095,-0.4273235169934919,2,health_beauty
2018-07-28,2.70805020110221,2.9586575193314317,2.36660745292199,3.5316979756459457,-0.25060731822922167,2,health_beauty
2018-07-29,2.4849066497880004,3.0858059470097308,2.4878300772144857,3.695429194044816,-0.6008992972217304,2,health_beauty
2018-07-30,3.367295829986474,3.3030960488732264,2.7075919025104036,3.9037762354981687,0.06419978111324776,2,health_beauty
2018-07-31,3.367295829986474,3.245621268002133,2.653873510429925,3.8598621265391984,0.12167456198434135,3,health_beauty
2018-08-01,3.806662489770319,3.257836357274381,2.662980750865253,3.8614394213026517,0.5488261324959383,3,health_beauty
2018-08-02,3.4339872044851463,3.2237085380835904,2.613477908951707,3.8434671267161353,0.2102786664015559,3,health_beauty
2018-08-03,3.784189633918261,3.1175603079783403,2.5583550551695433,3.690764548622615,0.6666293259399207,3,health_beauty
2018-08-04,3.258096538021482,2.8836991947213444,2.2832566353808574,3.4608874543568304,0.37439734330013774,3,health_beauty
2018-08-05,3.6888794541139363,2.9880364859282116,2.394227468827424,3.5730577821378007,0.7008429681857247,3,health_beauty
2018-08-06,3.8918202981106265,3.2234162847306718,2.579274570618545,3.8597521670788626,0.6684040133799547,3,health_beauty
2018-08-07,3.970291913552122,3.1714198308597354,2.565714959021536,3.7895204041294246,0.7988720826923865,3,health_beauty
2018-08-08,3.6888794541139363,3.186775561677707,2.566185512499541,3.7920732530169845,0.5021038924362293,3,health_beauty
2018-08-09,3.5553480614894135,3.1572486693911266,2.5189570268299923,3.772835829430127,0.39809939209828693,3,health_beauty
2018-08-10,3.367295829986474,3.0570838292659577,2.412406052096081,3.6621844157871175,0.31021200072051647,3,health_beauty
